Front,Back
What is the definition/significance of Motion?,Motion is a key concept covered in the lecture.
What is the definition/significance of Object?,Object is a key concept covered in the lecture.
What is the definition/significance of Force?,Force is a key concept covered in the lecture.
What is the definition/significance of Collisions?,Collisions is a key concept covered in the lecture.
What is the definition/significance of Law?,Law is a key concept covered in the lecture.
What is the definition/significance of Mass?,Mass is a key concept covered in the lecture.
What is the definition/significance of Momentum?,Momentum is a key concept covered in the lecture.
What is the definition/significance of Net?,Net is a key concept covered in the lecture.
What is the definition/significance of Times?,Times is a key concept covered in the lecture.
What is the definition/significance of Where?,Where is a key concept covered in the lecture.
What is the definition/significance of Inelastic?,Inelastic is a key concept covered in the lecture.
What is the definition/significance of States?,States is a key concept covered in the lecture.
Key Concept #1,The first law states that an object at rest stays at rest and an object in motion stays in motion unless acted on by a net external force.
Key Concept #2,This is also called the law of inertia.
Key Concept #3,"The second law relates force, mass, and acceleration with the equation F equals m times a."
Key Concept #4,"Using F equals m times a, the net force required is 2000 newtons."
Key Concept #5,"Momentum is another important concept, defined as mass times velocity."
Key Concept #6,"There are two types of collisions we study: elastic collisions, where kinetic energy is conserved, and inelastic collisions, where it is not."
